home,hscore,away,ascore,date,time,location
Dalhousie,43,UNB Fredericton ,17,2018-09-15,7:00PM,"Wickwire Field, Dalhousie University"
UNB Saint John,17,Holland College,22,2018-09-15,1:00PM,"Canada Games Stadium, UNB Saint John"
UNB Fredericton,31,Dalhousie,34,2018-09-22,7:00PM,"BMO Field, UNB Fredericton"
Holland College,35,UNB Saint John,6,2018-09-22,1:00PM,"Alumni Field, UPEI"
UNB Fredericton,38,UNB Saint John,0,2018-09-29,1:00PM,"College Field, UNB Fredericton"
Dalhousie,25,Holland College,24,2018-09-29,2:00PM,"Wickwire Field, Dalhousie University"
UNB Saint John,31,UNB Fredericton,54,2018-10-06,1:00PM,"Canada Games Stadium, UNB Saint John"
Holland College,12,Dalhousie,23,2018-10-07,1:00PM,"Alumni Field, UPEI"
UNB Fredericton,30,Holland College,16,2018-10-13,1:00PM,"BMO Field, UNB Fredericton"
Dalhousie,30,UNB Saint John,0,2018-10-13,7:00PM,"Wickwire Field, Dalhousie University"
UNB Saint John,0,Dalhousie,40,2018-10-20,1:00PM,"Canada Games Stadium, UNB Saint John"
Holland College ,12,UNB Fredericton,14,2018-10-21,1:00PM,"Alumni Field, UPEI"
Dalhousie,51,UNB Saint John,9,2018-10-27,1:00PM,"BMO Field, UNB Fredericton"
UNB Fredericton,34,Holland College,40,2018-10-27,1:00PM,"Wickwire Field, Dalhousie University"
Dalhousie,27,Holland College,3,2018-11-03,2:30PM,"Wickwire Field, Dalhousie University"
